   -1.29588e-20 -1 1.64323  -4.30281e-20   1
   20.78     -7.51469 -0.169426 0.488982  0.99785   0.0322722
   20.84     -7.48324 -0.160849 0.498216  0.998765   0.0295812
   20.9     -7.44715 -0.16028 0.489119  0.99852   0.00945166
   20.96     -7.41394 -0.170227 0.49819  0.999119   0.0121689
   21.02     -7.37716 -0.171705 0.489014  0.997966   0.0311694
   21.08     -7.34531 -0.161734 0.49817  0.998794   0.0289279
   21.14     -7.30878 -0.159843 0.489051  0.998489   0.00855847
   21.2     -7.27574 -0.168736 0.498287  0.999125   0.0118385
   21.26     -7.23896 -0.169467 0.489069  0.997962   0.031089
   21.32     -7.20712 -0.159027 0.498003  0.998846   0.0272795
   21.38     -7.1703 -0.157607 0.488873  0.998489   0.00732722
   21.44     -7.13673 -0.169772 0.497969  0.999081   0.0120185
   21.5     -7.09921 -0.173347 0.488863  0.997817   0.0309741
   21.56     -7.06785 -0.164277 0.498061  0.998774   0.027915
   21.62     -7.03205 -0.163225 0.48905  0.998517   0.00736599
   21.68     -6.99912 -0.172646 0.498254  0.999151   0.0100987
   21.74     -6.96255 -0.173926 0.48909  0.998048   0.0292217
   21.8     -6.93071 -0.164303 0.498213  0.998861   0.0272086
   21.86     -6.89401 -0.162661 0.489048  0.998507   0.00679762
   21.92     -6.86075 -0.171758 0.498227  0.998877   0.0175212
   21.98     -6.8237 -0.17267 0.488973  0.997247   0.0404562
   22.04     -6.79189 -0.162407 0.497958  0.998285   0.0362605
   22.1     -6.75508 -0.160823 0.488803  0.998003   0.0162393
   22.16     -6.72189 -0.172505 0.497934  0.998684   0.0211301
   22.22     -6.68468 -0.17582 0.488887  0.997198   0.0400544
   22.28     -6.65337 -0.166822 0.498135  0.998257   0.037056
   22.34     -6.61744 -0.165791 0.489086  0.998099   0.0166481
   22.4     -6.58444 -0.175275 0.498234  0.998783   0.0194255
   22.46     -6.54773 -0.176546 0.489052  0.997404   0.0383197
   22.52     -6.51601 -0.166827 0.498201  0.998343   0.0359222
   22.58     -6.47944 -0.165022 0.489042  0.998091   0.0153753
   22.64     -6.44631 -0.173875 0.498239  0.998785   0.0186422
   22.7     -6.40936 -0.174548 0.489  0.997378   0.0376649
   22.76     -6.37761 -0.164122 0.498023  0.998406   0.0334133
   22.82     -6.34091 -0.162363 0.488887  0.99809   0.0132494
   22.88     -6.30767 -0.173826 0.497982  0.998768   0.0179656
   22.94     -6.27035 -0.176952 0.488915  0.997331   0.0367057
   23     -6.2391 -0.16787 0.498201  0.998394   0.0335211
   23.06     -6.20333 -0.166759 0.489154  0.998187   0.0129618
   23.12     -6.17015 -0.176179 0.498209  0.998408   0.0223205
   23.18     -6.1333 -0.177032 0.488991  0.996484   0.0444363
   23.24     -6.10158 -0.166361 0.498186  0.997848   0.0344757
   23.3     -6.06531 -0.163885 0.489121  0.997474   0.010185
   23.36     -6.03227 -0.172363 0.498351  0.998212   0.0210578
   23.42     -5.99536 -0.172635 0.489073  0.996442   0.0436287
   23.48     -5.96338 -0.161832 0.497973  0.997623   0.0393224
   23.54     -5.92651 -0.16 0.488809  0.997239   0.0191801
   23.6     -5.89309 -0.171731 0.497888  0.998039   0.024077
   23.66     -5.85553 -0.174949 0.488748  0.996244   0.0427313
   23.72     -5.8241 -0.166001 0.498018  0.997542   0.0391853
   23.78     -5.7877 -0.164943 0.48885  0.997185   0.0186574
   23.84     -5.75464 -0.174945 0.497822  0.998026   0.0235723
   23.9     -5.71774 -0.175732 0.488614  0.996357   0.0417742
   23.96     -5.68607 -0.164098 0.497934  0.997578   0.0382464
   24.02     -5.64948 -0.160529 0.488825  0.99716   0.0173127
   24.08     -5.61693 -0.168336 0.498077  0.998114   0.0209957
   24.14     -5.58027 -0.167898 0.488827  0.996496   0.0394316
   24.2     -5.54846 -0.156452 0.497757  0.997707   0.0349541
   24.26     -5.51179 -0.154194 0.488642  0.997239   0.0148628
   24.32     -5.47857 -0.165945 0.4978  0.998096   0.0197711
   24.38     -5.4411 -0.169115 0.48866  0.996363   0.0382187
   24.44     -5.40281 -0.159253 0.506761  0.996576   0.0365442
   24.5     -5.36963 -0.151949 0.493581  0.999473   -0.0281545
   24.56     -5.30912 -0.163685 0.505334  0.997382   -0.0211094
   24.62     -5.24261 -0.170154 0.496553  0.992062   0.0398899
   24.68     -5.17907 -0.158899 0.50354  0.986177   0.0344121
   24.74     -5.12366 -0.155117 0.491561  0.984978   0.00671931
   24.8     -5.08084 -0.167302 0.500811  0.990681   0.0228829
   24.86     -5.04583 -0.170655 0.492929  0.995436   0.0461711
   24.92     -5.00091 -0.156039 0.504828  0.994833   0.0446038
   24.98     -4.95109 -0.148471 0.494958  0.995751   0.0127871
   25.04     -4.90144 -0.160192 0.503612  0.994744   0.0221516
   25.1     -4.85874 -0.164326 0.493629  0.995669   0.042059
   25.16     -4.80788 -0.154379 0.503372  0.993893   0.0432771
   25.22     -4.76118 -0.151161 0.493862  0.995351   0.025255
   25.28     -4.71042 -0.1604 0.502155  0.993799   0.0275864
   25.34     -4.66413 -0.162081 0.492561  0.99406   0.0468828
   25.4     -4.617 -0.145964 0.502134  0.993429   0.0394513
   25.46     -4.57349 -0.137651 0.493757  0.995503   0.0205012
   25.52     -4.52686 -0.149515 0.503619  0.994801   0.0260154
   25.58     -4.48428 -0.154048 0.494827  0.995696   0.0452289
   25.64     -4.43311 -0.144901 0.503815  0.993846   0.0474507
   25.7     -4.38559 -0.142659 0.493814  0.995193   0.0296884
   25.76     -4.3371 -0.151568 0.502945  0.994126   0.0329326
   25.82     -4.29447 -0.152612 0.494187  0.994881   0.0535878
   25.88     -4.24587 -0.138521 0.503615  0.993696   0.0517619
   25.94     -4.20157 -0.131895 0.494803  0.995709   0.0336647
   26     -4.14995 -0.140679 0.503174  0.994054   0.0333944
   26.06     -4.10217 -0.142484 0.49302  0.99385   0.0524848
   26.12     -4.05274 -0.13112 0.501658  0.992528   0.0396316
   26.18     -4.00857 -0.127142 0.492521  0.994432   0.0169563
   26.24     -3.96106 -0.141693 0.502237  0.993434   0.0230148
   26.3     -3.91708 -0.148311 0.49401  0.994368   0.0424682
   26.36     -3.87014 -0.134602 0.50376  0.993724   0.0359079
   26.42     -3.82729 -0.127849 0.494753  0.99582   0.0175039
   26.48     -3.77615 -0.134755 0.503671  0.994139   0.015212
   26.54     -3.72878 -0.134657 0.493686  0.993626   0.0407742
   26.6     -3.68036 -0.123769 0.502892  0.992036   0.0403637
   26.66     -3.63777 -0.12063 0.494217  0.99456   0.0203844
   26.72     -3.58746 -0.135112 0.502965  0.992847   0.0227804
   26.78     -3.54024 -0.141014 0.493532  0.993122   0.0420427
   26.84     -3.49317 -0.127426 0.50308  0.992468   0.0337666
   26.9     -3.45046 -0.121157 0.494244  0.994764   0.0155058
   26.96     -3.40003 -0.129535 0.503283  0.99308   0.0142676
   27.02     -3.35333 -0.130882 0.493521  0.993566   0.0332943
   27.08     -3.30275 -0.120088 0.502051  0.991779   0.0297201
   27.14     -3.25665 -0.116527 0.492514  0.993327   0.01076
   27.2     -3.20931 -0.130703 0.501883  0.991103   0.026402
   27.26     -3.16518 -0.136853 0.493509  0.991449   0.0506234
   27.32     -3.11885 -0.122865 0.50371  0.990827   0.0425555
   27.38     -3.07688 -0.115519 0.495017  0.993638   0.0239356
   27.44     -3.02658 -0.121667 0.504139  0.991895   0.0211466
   27.5     -2.97973 -0.120613 0.494232  0.990776   0.0467544
   27.56     -2.93002 -0.109581 0.503051  0.987971   0.0468867
   27.62     -2.8863 -0.106125 0.494141  0.990876   0.0267911
   27.68     -2.83745 -0.11866 0.503368  0.989322   0.0301387
   27.74     -2.79276 -0.123434 0.49438  0.990331   0.0494451
   27.8     -2.74332 -0.110694 0.503515  0.988544   0.0437687
   27.86     -2.69913 -0.104727 0.494538  0.991127   0.0253859
   27.92     -2.64813 -0.113204 0.503089  0.988948   0.026162
   27.98     -2.60067 -0.114645 0.49306  0.989179   0.0457835
   28.04     -2.55153 -0.102979 0.502006  0.987526   0.0389683
   28.1     -2.50751 -0.0981837 0.49305  0.990188   0.0204614
   28.16     -2.45851 -0.111978 0.502102  0.98856   0.0251184
   28.22     -2.41233 -0.117078 0.493073  0.989266   0.0452552
   28.28     -2.36625 -0.103265 0.503255  0.988645   0.0362675
   28.34     -2.32476 -0.0965386 0.49481  0.991838   0.0175086
   28.4     -2.27483 -0.10349 0.504044  0.986266   0.0239228
   28.46     -2.22803 -0.103055 0.494171  0.981824   0.0541659
   28.52     -2.17871 -0.0927343 0.503238  0.977576   0.0531573
   28.58     -2.1357 -0.0897276 0.494413  0.981784   0.0328989
   28.64     -2.08502 -0.100163 0.503174  0.978891   0.0328432
   28.7     -2.03736 -0.102778 0.493152  0.979286   0.0520426
   28.76     -1.98736 -0.0885965 0.501754  0.976514   0.0426932
   28.82     -1.94133 -0.0820189 0.492781  0.979392   0.0225319
   28.88     -1.89557 -0.0950907 0.502784  0.978723   0.0315331
   28.94     -1.85296 -0.0999192 0.494179  0.981227   0.0512001
   29     -1.8027 -0.0875763 0.50317  0.977931   0.0475476
   29.06     -1.75645 -0.0824737 0.493672  0.980631   0.0291458
   29.12     -1.70597 -0.0914865 0.50233  0.9728   0.0403604
   29.18     -1.65947 -0.0932303 0.49261  0.970963   0.0638582
   29.24     -1.61175 -0.0793536 0.502075  0.968928   0.0534556
   29.3     -1.56838 -0.0726295 0.493765  0.973603   0.033849
   29.36     -1.5205 -0.0845347 0.502819  0.971685   0.0399149
   29.42     -1.47695 -0.088159 0.493421  0.974068   0.0599176
   29.48     -1.42579 -0.0780041 0.50288  0.969811   0.0572871
   29.54     -1.37945 -0.0741732 0.493525  0.972939   0.0381972
   29.6     -1.32955 -0.0832555 0.502217  0.970059   0.0426276
   29.66     -1.28359 -0.0848741 0.492635  0.971295   0.0620529
   29.72     -1.23578 -0.0704385 0.502158  0.969163   0.0516109
   29.78     -1.1923 -0.0631664 0.493918  0.973747   0.0316419
   29.84     -1.14548 -0.076032 0.503667  0.972258   0.039705
   29.9     -1.10176 -0.0810187 0.494848  0.959557   0.0701118
   29.96     -1.04982 -0.0712262 0.503422  0.94421   0.0720581
   30.02     -1.00257 -0.0678396 0.493472  0.947901   0.0540507
   30.08     -0.955023 -0.0760512 0.50292  0.945572   0.0606681
   30.14     -0.912684 -0.0763687 0.494144  0.949551   0.0806566
   30.2     -0.863421 -0.0636421 0.503513  0.944932   0.074557
   30.26     -0.819085 -0.0578576 0.494827  0.950525   0.0550293
   30.32     -0.767847 -0.0672668 0.503268  0.945522   0.0581484
   30.38     -0.719531 -0.0692094 0.492874  0.91531   0.0840611
